Name,Self CPU Time (μs),CPU Time (μs),Self CUDA Time (μs),CUDA Time (μs),Count
ProfilerStep*,457.6650000000002,1604.483,0,0,1
aten::item,1.299999999999983,1.9199999999999875,0,0,1
aten::_local_scalar_dense,0.6200000000000045,0.6200000000000045,0,0,1
enumerate(DataLoader)#_SingleProcessDataLoaderIter.__next__,205.23400000000026,287.41700000000003,0,0,1
aten::select,7.485000000000014,8.264999999999986,0,0,1
aten::as_strided,0.7799999999999727,0.7799999999999727,0,0,1
aten::select,1.0699999999999932,1.316000000000031,0,0,1
aten::as_strided,0.24600000000003774,0.24600000000003774,0,0,1
aten::select,1.1969999999999459,1.4989999999999668,0,0,1
aten::as_strided,0.3020000000000209,0.3020000000000209,0,0,1
aten::select,0.867999999999995,0.9909999999999854,0,0,1
aten::as_strided,0.12299999999999045,0.12299999999999045,0,0,1
aten::select,1.5489999999999782,1.6790000000000305,0,0,1
aten::as_strided,0.1300000000000523,0.1300000000000523,0,0,1
aten::select,0.8360000000000127,0.9879999999999995,0,0,1
aten::as_strided,0.1519999999999868,0.1519999999999868,0,0,1
aten::select,0.9320000000000164,1.268000000000029,0,0,1
aten::as_strided,0.33600000000001273,0.33600000000001273,0,0,1
aten::select,1.5140000000000668,1.712000000000046,0,0,1
aten::as_strided,0.19799999999997908,0.19799999999997908,0,0,1
aten::select,1.3059999999999832,1.4189999999999827,0,0,1
aten::as_strided,0.11299999999999955,0.11299999999999955,0,0,1
aten::select,0.7589999999999577,1.0979999999999563,0,0,1
aten::as_strided,0.33899999999999864,0.33899999999999864,0,0,1
aten::select,0.8250000000000455,1.063000000000045,0,0,1
aten::as_strided,0.23799999999999955,0.23799999999999955,0,0,1
aten::select,0.7280000000000086,0.8759999999999764,0,0,1
aten::as_strided,0.1479999999999677,0.1479999999999677,0,0,1
aten::select,1.2329999999999472,1.4119999999999777,0,0,1
aten::as_strided,0.17900000000003047,0.17900000000003047,0,0,1
aten::select,0.7210000000000036,0.8480000000000132,0,0,1
aten::as_strided,0.12700000000000955,0.12700000000000955,0,0,1
aten::select,0.8509999999999991,1.0389999999999873,0,0,1
aten::as_strided,0.18799999999998818,0.18799999999998818,0,0,1
aten::select,1.3430000000000177,1.468999999999994,0,0,1
aten::as_strided,0.12599999999997635,0.12599999999997635,0,0,1
aten::select,1.044999999999959,1.210999999999956,0,0,1
aten::as_strided,0.16599999999999682,0.16599999999999682,0,0,1
aten::select,0.7189999999999941,0.8720000000000141,0,0,1
aten::as_strided,0.15300000000002,0.15300000000002,0,0,1
aten::select,0.8149999999999409,1.079999999999984,0,0,1
aten::as_strided,0.2650000000000432,0.2650000000000432,0,0,1
aten::select,0.7859999999999445,0.9269999999999641,0,0,1
aten::as_strided,0.14100000000001955,0.14100000000001955,0,0,1
aten::select,0.8650000000000091,1.1499999999999773,0,0,1
aten::as_strided,0.28499999999996817,0.28499999999996817,0,0,1
aten::select,0.75,0.9399999999999977,0,0,1
