Name,Self CPU Time (μs),CPU Time (μs),Self CUDA Time (μs),CUDA Time (μs),Count
ProfilerStep*,572.0540000000003,2372.335,0,0,1
aten::item,1.9050000000000011,2.6310000000000002,0,0,1
aten::_local_scalar_dense,0.7259999999999991,0.7259999999999991,0,0,1
enumerate(DataLoader)#_SingleProcessDataLoaderIter.__next__,415.19999999999936,645.9359999999999,0,0,1
aten::select,7.720999999999947,8.674999999999955,0,0,1
aten::as_strided,0.9540000000000077,0.9540000000000077,0,0,1
aten::select,1.2159999999999513,1.4359999999999786,0,0,1
aten::as_strided,0.22000000000002728,0.22000000000002728,0,0,1
aten::select,1.156000000000006,1.5649999999999977,0,0,1
aten::as_strided,0.4089999999999918,0.4089999999999918,0,0,1
aten::select,0.8249999999999886,0.9599999999999795,0,0,1
aten::as_strided,0.1349999999999909,0.1349999999999909,0,0,1
aten::select,1.4730000000000132,1.629000000000019,0,0,1
aten::as_strided,0.1560000000000059,0.1560000000000059,0,0,1
aten::select,11.201999999999941,17.095999999999947,0,0,1
aten::as_strided,5.8940000000000055,5.8940000000000055,0,0,1
aten::select,2.0079999999999814,2.5330000000000155,0,0,1
aten::as_strided,0.5250000000000341,0.5250000000000341,0,0,1
aten::select,1.434000000000026,1.8540000000000418,0,0,1
aten::as_strided,0.4200000000000159,0.4200000000000159,0,0,1
aten::select,1.2889999999999873,1.4440000000000168,0,0,1
aten::as_strided,0.15500000000002956,0.15500000000002956,0,0,1
aten::select,0.7579999999999814,0.8979999999999677,0,0,1
aten::as_strided,0.13999999999998636,0.13999999999998636,0,0,1
aten::select,0.8070000000000164,1.115000000000009,0,0,1
aten::as_strided,0.3079999999999927,0.3079999999999927,0,0,1
aten::select,0.7080000000000268,0.8410000000000082,0,0,1
aten::as_strided,0.13299999999998136,0.13299999999998136,0,0,1
aten::select,3.709000000000003,4.2309999999999945,0,0,1
aten::as_strided,0.5219999999999914,0.5219999999999914,0,0,1
aten::select,1.039000000000044,1.212000000000046,0,0,1
aten::as_strided,0.17300000000000182,0.17300000000000182,0,0,1
aten::select,2.8530000000000086,3.501000000000033,0,0,1
aten::as_strided,0.6480000000000246,0.6480000000000246,0,0,1
aten::select,1.6159999999999854,1.7699999999999818,0,0,1
aten::as_strided,0.15399999999999636,0.15399999999999636,0,0,1
aten::select,0.9610000000000127,1.132000000000005,0,0,1
aten::as_strided,0.17099999999999227,0.17099999999999227,0,0,1
aten::select,0.7589999999999577,0.9009999999999536,0,0,1
aten::as_strided,0.1419999999999959,0.1419999999999959,0,0,1
aten::select,0.8670000000000186,1.1340000000000146,0,0,1
aten::as_strided,0.2669999999999959,0.2669999999999959,0,0,1
aten::select,12.052999999999997,13.086999999999989,0,0,1
aten::as_strided,1.0339999999999918,1.0339999999999918,0,0,1
aten::select,1.7520000000000095,1.9219999999999686,0,0,1
aten::as_strided,0.16999999999995907,0.16999999999995907,0,0,1
aten::select,0.9250000000000114,1.1499999999999773,0,0,1
aten::as_strided,0.2249999999999659,0.2249999999999659,0,0,1
aten::select,1.0120000000000005,1.2860000000000014,0,0,1
aten::as_strided,0.2740000000000009,0.2740000000000009,0,0,1
aten::select,1.490000000000009,1.742999999999995,0,0,1
aten::as_strided,0.2529999999999859,0.2529999999999859,0,0,1
aten::select,1.0649999999999977,1.3419999999999845,0,0,1
aten::as_strided,0.2769999999999868,0.2769999999999868,0,0,1
aten::select,1.0300000000000296,1.2250000000000227,0,0,1
aten::as_strided,0.19499999999999318,0.19499999999999318,0,0,1
aten::select,1.0529999999999973,1.2390000000000327,0,0,1
aten::as_strided,0.18600000000003547,0.18600000000003547,0,0,1
aten::select,0.8929999999999723,1.0500000000000114,0,0,1
aten::as_strided,0.1570000000000391,0.1570000000000391,0,0,1
aten::select,0.893000000000086,1.1180000000000518,0,0,1
aten::as_strided,0.2249999999999659,0.2249999999999659,0,0,1
aten::select,0.8899999999999864,1.0690000000000168,0,0,1
aten::as_strided,0.17900000000003047,0.17900000000003047,0,0,1
aten::select,1.1040000000000418,1.350999999999999,0,0,1
aten::as_strided,0.24699999999995725,0.24699999999995725,0,0,1
aten::select,1.5760000000000787,1.8900000000000432,0,0,1
