Name,Self CPU Time (μs),CPU Time (μs),Self CUDA Time (μs),CUDA Time (μs),Count
ProfilerStep*,515.9389999999994,2037.665,0,0,1
aten::item,1.7800000000000011,2.420000000000016,0,0,1
aten::_local_scalar_dense,0.6400000000000148,0.6400000000000148,0,0,1
enumerate(DataLoader)#_SingleProcessDataLoaderIter.__next__,279.58300000000014,445.5469999999999,0,0,1
aten::select,8.331999999999994,9.415999999999997,0,0,1
aten::as_strided,1.0840000000000032,1.0840000000000032,0,0,1
aten::select,1.3109999999999786,1.586999999999989,0,0,1
aten::as_strided,0.27600000000001046,0.27600000000001046,0,0,1
aten::select,1.4350000000000023,1.7980000000000018,0,0,1
aten::as_strided,0.36299999999999955,0.36299999999999955,0,0,1
aten::select,0.9809999999999945,1.141999999999996,0,0,1
aten::as_strided,0.16100000000000136,0.16100000000000136,0,0,1
aten::select,1.8120000000000118,1.9809999999999945,0,0,1
aten::as_strided,0.16899999999998272,0.16899999999998272,0,0,1
aten::select,1.016999999999996,1.204999999999984,0,0,1
aten::as_strided,0.18799999999998818,0.18799999999998818,0,0,1
aten::select,1.1680000000000064,1.343999999999994,0,0,1
aten::as_strided,0.17599999999998772,0.17599999999998772,0,0,1
aten::select,1.5079999999999814,1.8819999999999482,0,0,1
aten::as_strided,0.3739999999999668,0.3739999999999668,0,0,1
aten::select,1.6380000000000337,1.7700000000000387,0,0,1
aten::as_strided,0.132000000000005,0.132000000000005,0,0,1
aten::select,0.8669999999999618,1.2129999999999654,0,0,1
aten::as_strided,0.34600000000000364,0.34600000000000364,0,0,1
aten::select,1.1809999999999263,1.47199999999998,0,0,1
aten::as_strided,0.29100000000005366,0.29100000000005366,0,0,1
aten::select,0.8600000000000136,1.079999999999984,0,0,1
aten::as_strided,0.21999999999997044,0.21999999999997044,0,0,1
aten::select,1.3330000000000268,1.5460000000000491,0,0,1
aten::as_strided,0.21300000000002228,0.21300000000002228,0,0,1
aten::select,0.8559999999999945,1.0090000000000146,0,0,1
aten::as_strided,0.15300000000002,0.15300000000002,0,0,1
aten::select,1.0109999999999673,1.2309999999999945,0,0,1
aten::as_strided,0.22000000000002728,0.22000000000002728,0,0,1
aten::select,1.224999999999966,1.3899999999999864,0,0,1
aten::as_strided,0.16500000000002046,0.16500000000002046,0,0,1
aten::select,1.0720000000000027,1.225999999999999,0,0,1
aten::as_strided,0.15399999999999636,0.15399999999999636,0,0,1
aten::select,0.9430000000000405,1.150000000000034,0,0,1
aten::as_strided,0.20699999999999363,0.20699999999999363,0,0,1
aten::select,1.177000000000021,1.3900000000000432,0,0,1
aten::as_strided,0.21300000000002228,0.21300000000002228,0,0,1
aten::select,1.1920000000000073,1.45799999999997,0,0,1
aten::as_strided,0.2659999999999627,0.2659999999999627,0,0,1
aten::select,1.29099999999994,1.697999999999979,0,0,1
aten::as_strided,0.4070000000000391,0.4070000000000391,0,0,1
aten::select,1.1370000000000005,1.433999999999969,0,0,1
aten::as_strided,0.2969999999999686,0.2969999999999686,0,0,1
aten::select,1.2939999999999827,1.632000000000005,0,0,1
aten::as_strided,0.3380000000000223,0.3380000000000223,0,0,1
aten::select,1.2320000000000277,1.538000000000011,0,0,1
aten::as_strided,0.3059999999999832,0.3059999999999832,0,0,1
aten::select,1.322999999999979,1.6050000000000182,0,0,1
aten::as_strided,0.2820000000000391,0.2820000000000391,0,0,1
aten::select,1.132000000000005,1.365000000000009,0,0,1
aten::as_strided,0.2330000000000041,0.2330000000000041,0,0,1
aten::select,1.1720000000000255,1.4209999999999923,0,0,1
aten::as_strided,0.2489999999999668,0.2489999999999668,0,0,1
aten::select,1.1579999999999586,1.4629999999999654,0,0,1
aten::as_strided,0.3050000000000068,0.3050000000000068,0,0,1
aten::select,1.1049999999999613,1.3139999999999645,0,0,1
aten::as_strided,0.20900000000000318,0.20900000000000318,0,0,1
aten::select,1.1970000000000027,1.4309999999999832,0,0,1
aten::as_strided,0.23399999999998045,0.23399999999998045,0,0,1
aten::select,1.2989999999999213,1.56899999999996,0,0,1
aten::as_strided,0.27000000000003865,0.27000000000003865,0,0,1
aten::select,1.122000000000014,1.3519999999999754,0,0,1
aten::as_strided,0.22999999999996135,0.22999999999996135,0,0,1
aten::select,1.1940000000000168,1.6200000000000045,0,0,1
aten::as_strided,0.4259999999999877,0.4259999999999877,0,0,1
aten::select,1.0009999999999764,1.7620000000000005,0,0,1
aten::as_strided,0.7610000000000241,0.7610000000000241,0,0,1
aten::select,1.3450000000000273,1.586999999999989,0,0,1
aten::as_strided,0.2419999999999618,0.2419999999999618,0,0,1
aten::select,1.127999999999986,1.4359999999999786,0,0,1
aten::as_strided,0.3079999999999927,0.3079999999999927,0,0,1
aten::select,1.1060000000000514,1.3320000000000505,0,0,1
aten::as_strided,0.2259999999999991,0.2259999999999991,0,0,1
aten::select,1.1989999999999554,1.3739999999999668,0,0,1
aten::as_strided,0.17500000000001137,0.17500000000001137,0,0,1
aten::select,1.09699999999998,1.375,0,0,1
aten::as_strided,0.27800000000002,0.27800000000002,0,0,1
aten::select,1.0809999999999604,1.259999999999991,0,0,1
aten::as_strided,0.17900000000003047,0.17900000000003047,0,0,1
aten::select,1.1319999999999482,1.34699999999998,0,0,1
aten::as_strided,0.21500000000003183,0.21500000000003183,0,0,1
aten::select,1.0269999999999868,1.2719999999999914,0,0,1
aten::as_strided,0.24500000000000455,0.24500000000000455,0,0,1
aten::select,1.1610000000000014,1.636000000000024,0,0,1
aten::as_strided,0.47500000000002274,0.47500000000002274,0,0,1
aten::select,1.2200000000000273,1.5120000000000005,0,0,1
aten::as_strided,0.29199999999997317,0.29199999999997317,0,0,1
aten::select,1.3309999999999604,1.575999999999965,0,0,1
aten::as_strided,0.24500000000000455,0.24500000000000455,0,0,1
aten::select,1.1340000000000146,1.4209999999999923,0,0,1
aten::as_strided,0.2869999999999777,0.2869999999999777,0,0,1
aten::select,1.0970000000000368,1.3360000000000127,0,0,1
aten::as_strided,0.2389999999999759,0.2389999999999759,0,0,1
aten::select,1.0230000000000814,1.2700000000000387,0,0,1
aten::as_strided,0.24699999999995725,0.24699999999995725,0,0,1
aten::select,1.2419999999999618,1.4699999999999704,0,0,1
aten::as_strided,0.22800000000000864,0.22800000000000864,0,0,1
aten::select,1.09699999999998,1.26400000000001,0,0,1
aten::as_strided,0.16700000000003,0.16700000000003,0,0,1
aten::select,1.2549999999999955,1.4359999999999786,0,0,1
aten::as_strided,0.18099999999998317,0.18099999999998317,0,0,1
aten::select,1.1019999999999754,1.3999999999999773,0,0,1
aten::as_strided,0.2980000000000018,0.2980000000000018,0,0,1
aten::select,1.2650000000000432,1.5060000000000286,0,0,1
aten::as_strided,0.24099999999998545,0.24099999999998545,0,0,1
aten::select,1.0910000000000082,1.343999999999994,0,0,1
aten::as_strided,0.2529999999999859,0.2529999999999859,0,0,1
aten::select,1.1229999999999905,1.3480000000000132,0,0,1
aten::as_strided,0.22500000000002274,0.22500000000002274,0,0,1
aten::select,1.0500000000000114,1.3240000000000123,0,0,1
aten::as_strided,0.2740000000000009,0.2740000000000009,0,0,1
aten::select,1.2399999999999523,1.4449999999999932,0,0,1
aten::as_strided,0.20500000000004093,0.20500000000004093,0,0,1
aten::select,1.02800000000002,1.316000000000031,0,0,1
aten::as_strided,0.2880000000000109,0.2880000000000109,0,0,1
aten::select,1.2139999999999986,1.4150000000000205,0,0,1
aten::as_strided,0.20100000000002183,0.20100000000002183,0,0,1
aten::select,1.1759999999999877,1.4699999999999704,0,0,1
aten::as_strided,0.2939999999999827,0.2939999999999827,0,0,1
aten::select,1.148999999999944,1.3239999999999554,0,0,1
aten::as_strided,0.17500000000001137,0.17500000000001137,0,0,1
aten::select,1.1300000000000523,1.3840000000000146,0,0,1
aten::as_strided,0.25399999999996226,0.25399999999996226,0,0,1
aten::select,1.1539999999999964,1.36099999999999,0,0,1
aten::as_strided,0.20699999999999363,0.20699999999999363,0,0,1
aten::select,1.627999999999986,1.882000000000005,0,0,1
